"id";"ts";"v_ms";"h_m";"A_m3";"Q_m3s"
197;"2021-08-16 14:09:10";3,5901;0,801;4,10889;14,75134
198;"2021-08-16 14:09:10.5";3,63047;0,797;4,07842;14,80655
199;"2021-08-16 14:09:11";3,65025;0,872;4,66174;17,01653
200;"2021-08-16 14:09:11.5";3,62726;0,888;4,78938;17,3723
201;"2021-08-16 14:09:12";3,5806;0,882;4,74138;16,97699
202;"2021-08-16 14:09:12.5";3,55416;0,904;4,91812;17,4798
203;"2021-08-16 14:09:13";3,57842;0,912;4,9829;17,83091
204;"2021-08-16 14:09:13.5";3,63383;0,916;5,01539;18,22504
205;"2021-08-16 14:09:14";3,67492;0,877;4,70151;17,27768
206;"2021-08-16 14:09:14.5";3,70473;0,871;4,6538;17,24104
207;"2021-08-16 14:09:15";3,72604;0,863;4,59043;17,10412
208;"2021-08-16 14:09:15.5";3,8176;0,868;4,63;17,6755
209;"2021-08-16 14:09:16";3,90432;0,844;4,44105;17,33924
210;"2021-08-16 14:09:16.5";3,84312;0,843;4,43323;17,03741
211;"2021-08-16 14:09:17";3,66965;0,846;4,45669;16,35449
212;"2021-08-16 14:09:17.5";3,5582;0,854;4,51947;16,08119
213;"2021-08-16 14:09:18";3,61094;0,857;4,54308;16,40479
214;"2021-08-16 14:09:18.5";3,6754;0,831;4,33975;15,95033
215;"2021-08-16 14:09:19";3,67444;0,858;4,55096;16,72225
216;"2021-08-16 14:09:19.5";3,69669;0,866;4,61416;17,05712
217;"2021-08-16 14:09:20";3,74497;0,868;4,63;17,3392
218;"2021-08-16 14:09:20.5";3,76462;0,866;4,61416;17,37054
219;"2021-08-16 14:09:21";3,74788;0,877;4,70151;17,62069
220;"2021-08-16 14:09:21.5";3,79022;0,871;4,6538;17,63894
221;"2021-08-16 14:09:22";3,88072;0,849;4,4802;17,38643
222;"2021-08-16 14:09:22.5";3,95933;0,848;4,47236;17,70756
223;"2021-08-16 14:09:23";3,97213;0,845;4,44887;17,67149
224;"2021-08-16 14:09:23.5";4,00272;0,837;4,38641;17,55755
225;"2021-08-16 14:09:24";4,0376;0,838;4,3942;17,74201
226;"2021-08-16 14:09:24.5";3,99913;0,854;4,51947;18,07395
227;"2021-08-16 14:09:25";3,91233;0,853;4,51161;17,6509
228;"2021-08-16 14:09:25.5";3,87409;0,876;4,69355;18,18322
229;"2021-08-16 14:09:26";3,93562;0,866;4,61416;18,1596
230;"2021-08-16 14:09:26.5";4,05398;0,879;4,71745;19,12441
231;"2021-08-16 14:09:27";4,11643;0,88;4,72542;19,45188
232;"2021-08-16 14:09:27.5";4,07578;0,855;4,52734;18,45242
233;"2021-08-16 14:09:28";3,97584;0,858;4,55096;18,09391
234;"2021-08-16 14:09:28.5";3,93034;0,857;4,54308;17,85587
235;"2021-08-16 14:09:29";3,98694;0,86;4,56674;18,20731
